assay,n,all,prot-private,dna-private,shared,no-prot-priv,no-dna-priv,no-shared,imp_prot,imp_dna,imp_shared
A0A140D2T1_ZIKV_Sourisseau_2019,2921,0.160761240482028,0.24685658661333862,0.11797507168868608,0.21043421593474437,0.11268236841526665,0.22337487196977657,0.15460188939176112,0.048078872066761355,-0.06261363148774857,0.006159351090266885
A0A192B1T2_9HIV1_Haddox_2018,3847,0.3573468054695175,0.5146111498045275,0.31618384232982866,0.34365872207051223,0.31662633128836004,0.46911095520435653,0.35850971914129703,0.040720474181157484,-0.111764149734839,-0.0011629136717795086
A0A1I9GEU1_NEIME_Kennouche_2019,804,0.0016923739039699306,0.014170614764321996,-0.0238376963413512,-0.01963847567248339,-0.024182544275818056,-0.0060705669837908295,0.005145519310031434,0.025874918179787987,0.00776294088776076,-0.0034531454060615033
A0A247D711_LISMN_Stadelmann_2021,536,0.4011823398566454,0.3422500563862511,0.29261773841712785,0.2605933942603625,0.2805590077244186,0.3745920984855987,0.4000382033449372,0.12062333213222681,0.026590241371046708,0.0011441365117081936
A0A2Z5U3Z0_9INFA_Doud_2016,3292,0.3983166870892149,0.5468499564651539,0.3009426149531001,0.33939987495378,0.3037004028052951,0.5155500804149628,0.42061888597368685,0.09461628428391983,-0.11723339332574784,-0.022302198884471935
A0A2Z5U3Z0_9INFA_Wu_2014,2347,0.07221921366760534,0.2017392803381201,0.06993453275836123,0.22512323632721545,0.06948916428336145,0.18795312675307838,0.0774265334258896,0.002730049384243885,-0.11573391308547304,-0.005207319758284257
A4D664_9INFA_Soh_2019,4410,0.21284537184796132,0.31549296176166153,0.18038515141419684,0.20006340646338447,0.17792709703088566,0.299526880143371,0.2165420495554528,0.034918274817075656,-0.08668150829540966,-0.0036966777074914914
A4GRB6_PSEAI_Chen_2020,1561,0.7107929638057917,0.6988832558391505,0.4668469471718633,0.2847709010761539,0.453763651641803,0.6742616260136682,0.7051131307492702,0.2570293121639887,0.036531337792123475,0.005679833056521533
A4_HUMAN_Seuma_2022,168,0.16638082505729562,0.225855614973262,0.18368703456016816,0.28276133628570677,0.2205404875263491,0.2876031321619557,0.16266424751718866,-0.05415966246905349,-0.12122230710466009,0.003716577540106958
AACC1_PSEAI_Dandage_2018,872,0.311118011747073,0.23208982964414498,0.2278147905983386,0.02667115885498411,0.23195011143110594,0.2141821572885954,0.3087458614735872,0.07916790031596704,0.09693585445847758,0.002372150273485807
ACE2_HUMAN_Chan_2020,708,0.40786517647770265,0.3213566954471959,0.27915570064979567,0.19716658027325146,0.25820812129831167,0.3246951310601296,0.40372192386576566,0.14965705517939099,0.08317004541757306,0.004143252611936987
ADRB2_HUMAN_Jones_2020,2448,0.2706491778395394,0.38579815754351304,0.1996324919766078,0.2952609235476795,0.19634082023431793,0.32853886106740005,0.2568937309002979,0.07430835760522148,-0.057889683227860644,0.013755446939241522
AICDA_HUMAN_Gajula_2014_3cycles,67,0.013402481243729952,-0.040810657034698605,0.042690946733086946,-0.154229953351607,0.060699659651578794,0.06999191742784569,-0.0036386090153660454,-0.04729717840784884,-0.056589436184115736,0.017041090259095996
AMFR_HUMAN_Tsuboyama_2023_4G3O,277,0.7950239234449763,0.7715212273107012,0.4017824865193287,0.45202413685030285,0.41134958608642824,0.7784407989671147,0.7930781499202553,0.38367433735854806,0.01658312447786159,0.0019457735247210284
AMIE_PSEAE_Wrenbeck_2017,2035,0.4777619666131444,0.569296865784912,0.31487147954960926,0.23869111885069122,0.3349025349899508,0.5259423069479591,0.45516266811249917,0.1428594316231936,-0.048180340334814664,0.022599298500645237
ANCSZ_Hobbs_2022,1530,0.5172795491881808,0.49965240498933594,0.3329795141590083,0.34061811574110556,0.39131035157922145,0.4498596448244488,0.4952717738988584,0.1259691976089593,0.06741990436373196,0.02200777528932235
ARGR_ECOLI_Tsuboyama_2023_1AOY,436,0.7775938247708699,0.731066060076359,0.4551966729165945,0.5201616518933768,0.46357271152795043,0.7423939620564328,0.7762049961787759,0.3140211132429195,0.03519986271443709,0.0013888285920939936
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,55,0.72,0.4763636363636364,0.46029853879343224,0.4745454545454546,0.450909090909091,0.610909090909091,0.7072727272727273,0.269090909090909,0.10909090909090902,0.012727272727272698
BBC1_YEAST_Tsuboyama_2023_1TG0,356,0.730707624743897,0.6636725375081539,0.5324521454233855,0.368247996026607,0.5600156767083033,0.6882672289444429,0.728586679896732,0.17069194803559373,0.042440395799454134,0.002120944847165074
BCHB_CHLTE_Tsuboyama_2023_2KRU,294,0.7790587222000063,0.6462118182657111,0.40551622324213643,0.35866920210721615,0.4586465286536036,0.6710861607554832,0.7776664923559631,0.32041219354640266,0.10797256144452305,0.0013922298440431913
BLAT_ECOLX_Deng_2012,1546,0.5811656234927647,0.5284061540217299,0.3562089785962549,0.44265789186231846,0.4617788221275868,0.5137473494798741,0.5309869159884938,0.11938680136517787,0.06741827401289058,0.05017870750427089
BLAT_ECOLX_Firnberg_2014,1540,0.7507859929314282,0.7387364049953284,0.5202789876014945,0.5483444156095885,0.5984758234321375,0.700735447288195,0.7159395582288614,0.15231016949929077,0.05005054564323319,0.034846434702566875
BLAT_ECOLX_Jacquier_2013,989,0.6225734942279935,0.541187596005752,0.3806166408314466,0.45469912476031676,0.4315755024361997,0.5918607669610098,0.5827966264653587,0.19099799179179378,0.030712727266983708,0.03977686776263478
BLAT_ECOLX_Stiffler_2015,1546,0.7513040894110417,0.7051059556813601,0.5350120199132831,0.5498013678987255,0.6165464990194433,0.7021428603470308,0.7298400245002891,0.1347575903915984,0.04916122906401088,0.02146406491075259
BRCA1_HUMAN_Findlay_2018,1837,0.3803325137583083,0.2901835987840242,0.3346370544395948,0.2674900456271244,0.3522449565391568,0.2490747997101898,0.36573246150736083,0.028087557219151515,0.13125771404811848,0.01460005225094746
BRCA2_HUMAN_Erwood_2022_HEK293T,257,0.44501698966959785,0.12607938709101324,0.4689261504311449,0.21612145409712125,0.4778205412789208,0.1980683844409266,0.4417040894732348,-0.03280355160932297,0.24694860522867126,0.0033129001963630444
C6KNH7_9INFA_Lee_2018,3355,0.36937112129368066,0.535055568972256,0.2496830034636889,0.28188526595082675,0.24508278713339413,0.5173691050813634,0.36306520675311965,0.12428833416028653,-0.1479979837876827,0.006305914540561008
CALM1_HUMAN_Weile_2017,837,0.23815080326265559,0.11345239533459942,0.19311282006104122,0.1264472056076746,0.22035049685429237,0.09175517422924372,0.22449736280933946,0.01780030640836322,0.14639562903341186,0.013653440453316124
CAPSD_AAV2S_Sinai_2021,167,0.5485752482811306,0.5609033613445378,0.3985565558239319,0.4797499274047284,0.42248358161033633,0.554150114591291,0.5572498090145149,0.12609166667079424,-0.0055748663101604645,-0.008674560733384351
CAR11_HUMAN_Meitlis_2020_gof,793,0.31809079209381785,0.24504444679391318,0.33816519789300015,0.17108987290122935,0.321830031702067,0.2347803064991884,0.312462090729723,-0.003739239608249123,0.08331048559462945,0.005628701364094879
CAR11_HUMAN_Meitlis_2020_lof,801,0.47861579879422367,0.3850471698113208,0.40815499720336695,0.27741818297329324,0.41541214613006805,0.38192304603912486,0.46930914185015904,0.06320365266415562,0.09669275275509881,0.009306656944064629
CAS9_STRP1_Spencer_2017_positive,6991,0.036704608801065554,0.09364373104195939,0.03754562623241289,0.06378877855122511,0.035269241549449035,0.09297156963322303,0.038578515658219396,0.0014353672516165192,-0.05626696083215748,-0.0018739068571538425
CASP3_HUMAN_Roychowdhury_2020,587,0.4820353515681325,0.2867594639348344,0.1084475566755212,0.2037416297864488,0.16107645300259504,0.3858508471050156,0.4634792603369631,0.32095889856553744,0.09618450446311688,0.018556091231169414
CASP7_HUMAN_Roychowdhury_2020,633,0.44006963817022876,0.3431510967379078,0.1419711193249646,0.06309853666335072,0.11480963129484723,0.33614632545931755,0.43699874390701154,0.32526000687538154,0.10392331271091121,0.0030708942632172165
CATR_CHLRE_Tsuboyama_2023_2AMI,468,0.7464777158796247,0.6144563371964272,0.4336135287464611,0.5710795885285246,0.5403925498147506,0.6398373197174847,0.7410761273988589,0.20608516606487415,0.10664039616214005,0.005401588480765884
CBPA2_HUMAN_Tsuboyama_2023_1O6X,461,0.7883447488621907,0.6943381228601007,0.5558070747502953,0.5145866981247732,0.5583819127114331,0.721501648958305,0.7872697205214886,0.22996283615075763,0.0668430999038857,0.0010750283407021666
CBS_HUMAN_Sun_2020,2196,0.19438751434217583,0.2732403822883332,0.1292076980327302,0.1570815554221275,0.14579491383282556,0.2339579773032309,0.17730862767571856,0.04859260050935027,-0.03957046296105507,0.017078886666457266
CBX4_HUMAN_Tsuboyama_2023_2K28,309,0.7472579386064315,0.7626506509531363,0.5127165321900875,0.4961346409233632,0.5213676471336558,0.7672231875299035,0.7462904484903428,0.22589029147277573,-0.019965248923471957,0.000967490116088765
CCDB_ECOLI_Adkar_2012,386,0.768488938012295,0.6671757557256464,0.5094058770200502,0.32441618016050733,0.5112055264361354,0.7073860668954807,0.7693879195813278,0.25728341157615964,0.06110287111681434,-0.0008989815690327863
CCDB_ECOLI_Tripathi_2016,533,0.40750422139373627,0.3888987894307582,0.18054722070323675,0.3314774039108457,0.20875614300513182,0.3922901329819576,0.41244660308498127,0.19874807838860445,0.015214088411778681,-0.004942381691245001
CCR5_HUMAN_Gill_2023,1908,0.2177005478109339,0.2219884750877908,0.20109919251932692,0.1188708655102119,0.17470677964007955,0.14353864931988933,0.20897250321459482,0.042993768170854346,0.07416189849104457,0.00872804459633908
CD19_HUMAN_Klesmith_2019_FMC_singles,1493,0.2870298742981275,0.25407202006826946,0.1927299501418039,0.09512340535034672,0.17790653310490062,0.1785417641812527,0.29481660929098086,0.10912334119322686,0.10848811011687479,-0.0077867349928533725
