feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
0,dna-private,20,17,3,8051,760,0.5349231979464248,-0.9025963246739215,0.24653007314042663,0.85,0.15,6.137591276259506e-74
2,dna-private,13,9,4,8059,759,0.21190594366546717,-2.2385040410308137,0.021001542276485385,0.6923076923076923,0.3076923076923077,6.137591276259506e-74
3,prot-private,36,35,1,8033,762,3.3200547740570148,1.731207043261528,0.3656725407212863,0.9722222222222222,0.027777777777777776,1.3486175434808079e-64
4,dna-private,43,41,2,8027,761,1.943503176778373,0.9586594658549641,0.582055335925062,0.9534883720930233,0.046511627906976744,6.388400221161359e-26
5,dna-private,202,186,16,7882,747,1.1017349657447348,0.13977720975943483,0.8006242662609397,0.9207920792079208,0.07920792079207921,1.499676973186056e-14
6,dna-private,28,22,6,8046,757,0.34497472864363243,-1.5354374147237575,0.02960893992727668,0.7857142857142857,0.21428571428571427,6.137591276259506e-74
7,dead,21,13,8,8055,755,0.15231222842954686,-2.714896321240398,0.0002198507948276116,0.6190476190476191,0.38095238095238093,6.137591276259506e-74
8,prot-private,74,73,1,7995,762,6.9575984990619135,2.798589428005645,0.019867849931234537,0.9864864864864865,0.013513513513513514,6.137591276259506e-74
9,dna-private,41,40,1,8028,762,3.796711509715994,1.9247503810180673,0.2578854518887244,0.975609756097561,0.024390243902439025,6.137591276259506e-74
10,dna-private,31,30,1,8038,762,2.8439910425478976,1.5079169210430954,0.5158143009548789,0.967741935483871,0.03225806451612903,1.3486175434808079e-64
11,prot-private,124,120,4,7948,759,2.864871665827881,1.5184705137743146,0.024151466397186686,0.967741935483871,0.03225806451612903,6.137591276259506e-74
13,dna-private,21,20,1,8048,762,1.893638170974155,0.9211606925751572,1.0,0.9523809523809523,0.047619047619047616,1.499676973186056e-14
14,prot-private,35,34,1,8034,762,3.224794622852875,1.6892072826981948,0.3624586490896934,0.9714285714285714,0.02857142857142857,1.3486175434808079e-64
15,prot-private,31,30,1,8038,762,2.8439910425478976,1.5079169210430954,0.5158143009548789,0.967741935483871,0.03225806451612903,1.3486175434808079e-64
16,shared,33,32,1,8036,762,3.0343454454952714,1.60138533876003,0.35982551827944353,0.9696969696969697,0.030303030303030304,1.3486175434808079e-64
17,prot-private,222,209,13,7859,750,1.5342527430579345,0.6175361628415901,0.14701917839990708,0.9414414414414415,0.05855855855855856,6.137591276259506e-74
18,dna-private,121,107,14,7961,749,0.7190679562868987,-0.4757999743406431,0.25192935128809624,0.8842975206611571,0.11570247933884298,6.137591276259506e-74
19,dna-private,48,38,10,8030,753,0.3563387297633873,-1.4886787991765253,0.006957300717321127,0.7916666666666666,0.20833333333333334,6.137591276259506e-74
20,dna-private,60,52,8,8016,755,0.6122130738522954,-0.7078942408416751,0.2418554906702558,0.8666666666666667,0.13333333333333333,6.137591276259506e-74
