assay,gene,n,rho_real,rho_shuffled,delta
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1,2921,0.16383410846531987,0.11498485803716758,0.04884925042815229
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2,3847,0.3616528410409271,0.26604227741900066,0.09561056362192644
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1,804,-0.0075172671202961925,-0.022357005558059112,0.01483973843776292
A0A247D711_LISMN_Stadelmann_2021,A0A247D711,536,0.4056543177003906,0.33481685379616094,0.07083746390422968
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0,3292,0.3820175739659921,0.34985128487039335,0.032166289095598766
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0,2347,0.07956464179653619,0.06457789695785383,0.014986744838682356
A4D664_9INFA_Soh_2019,A4D664,4410,0.20986456164396103,0.12489273613556755,0.08497182550839348
A4GRB6_PSEAI_Chen_2020,A4GRB6,1561,0.7194007870953879,0.6402985454340041,0.0791022416613838
A4_HUMAN_Seuma_2022,A4,168,0.17152024446142095,0.132438884644767,0.03908135981665395
AACC1_PSEAI_Dandage_2018,AACC1,872,0.31211025629741995,0.35346250540370533,-0.04135224910628538
ACE2_HUMAN_Chan_2020,ACE2,708,0.412358477602709,0.34882830085706923,0.06353017674563977
ADRB2_HUMAN_Jones_2020,ADRB2,2448,0.26567308774542314,0.19574028232458918,0.06993280542083397
AICDA_HUMAN_Gajula_2014_3cycles,AICDA,67,0.026200454950645817,0.013472756308125677,0.01272769864252014
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR,277,0.7902475886686414,0.7498321561479457,0.04041543252069568
AMIE_PSEAE_Wrenbeck_2017,AMIE,2035,0.4847108723064342,0.43279179863720846,0.05191907366922577
ANCSZ_Hobbs_2022,ANCSZ,1530,0.5182883055502331,0.46533056497015435,0.05295774058007874
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR,436,0.777982704967919,0.7405020261088308,0.037480678859088234
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11,55,0.7018181818181819,0.5636363636363637,0.13818181818181818
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1,356,0.7258245362586477,0.6152997436674843,0.11052479259116343
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB,294,0.7781192900427576,0.6848675751330402,0.0932517149097174
BLAT_ECOLX_Deng_2012,BLAT,1546,0.585842024272907,0.47589024898271204,0.10995177529019495
BLAT_ECOLX_Firnberg_2014,BLAT,1540,0.7579786869415057,0.7029865083469113,0.054992178594594376
BLAT_ECOLX_Jacquier_2013,BLAT,989,0.6348528980390328,0.5908869032553337,0.043965994783699114
BLAT_ECOLX_Stiffler_2015,BLAT,1546,0.7637766167276359,0.6930354995897282,0.07074111713790765
BRCA1_HUMAN_Findlay_2018,BRCA1,1837,0.36255998370702663,0.10122996806884799,0.26133001563817865
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2,257,0.4399764364381456,0.02901698966959788,0.41095944676854773
C6KNH7_9INFA_Lee_2018,C6KNH7,3355,0.369468118742036,0.28881948306159216,0.08064863568044384
CALM1_HUMAN_Weile_2017,CALM1,837,0.23314978573340445,0.16593372746913673,0.06721605826426771
CAPSD_AAV2S_Sinai_2021,CAPSD,167,0.5424274255156608,0.41920741023682195,0.12322001527883886
CAR11_HUMAN_Meitlis_2020_gof,CAR11,793,0.33684033382063683,0.23500801312524816,0.10183232069538867
