feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
0,prot-private,13,12,1,8056,762,1.1350546176762661,0.18276172020769355,1.0,0.9230769230769231,0.07692307692307693,1.0
1,dna-private,34,30,4,8038,759,0.708198556854939,-0.49777419103476034,0.5325881344964782,0.8823529411764706,0.11764705882352941,0.8448103853951691
2,prot-private,51,30,21,8038,742,0.13187360039810897,-2.922772312608184,3.3469210082773194e-10,0.5882352941176471,0.4117647058823529,1.8073373444697527e-08
3,prot-private,40,39,1,8029,762,3.7013326690746045,1.8880448082821413,0.2551092409239627,0.975,0.025,0.5513510181203997
4,dna-private,67,49,18,8019,745,0.2529062920009422,-1.9833251649418144,9.544541450111206e-06,0.7313432835820896,0.26865671641791045,0.0001678063566577691
5,dna-private,23,21,2,8047,761,0.9929787498446626,-0.010165251073051074,1.0,0.9130434782608695,0.08695652173913043,1.0
6,prot-private,1159,1080,79,6988,684,1.3381348133871447,0.4202234708428663,0.01834117345983952,0.9318377911993098,0.06816220880069025,0.09243951423759118
7,dna-private,36,33,3,8035,760,1.0404480398257623,0.05720491840578896,1.0,0.9166666666666666,0.08333333333333333,1.0
8,prot-private,35,21,14,8047,749,0.13961724866409841,-2.8404509081754497,4.765024941496452e-07,0.6,0.4,1.2595660334864748e-05
9,dna-private,24,22,2,8046,761,1.0403927417350236,0.05712823951521257,1.0,0.9166666666666666,0.08333333333333333,1.0
11,dna-private,17,12,5,8056,758,0.22581926514399206,-2.146759524001899,0.0122129485169433,0.7058823529411765,0.29411764705882354,0.06900589744999354
12,dna-private,24,23,1,8045,762,2.1784959602237413,1.1233324379395262,0.7174205323835983,0.9583333333333334,0.041666666666666664,0.929036603167421
14,dna-private,42,36,6,8032,757,0.5654880478087649,-0.8224315632438842,0.17278394087249122,0.8571428571428571,0.14285714285714285,0.4404068081577996
15,dna-private,116,114,2,7954,761,5.453482524515967,2.4471778108630757,0.003979226354226939,0.9827586206896551,0.017241379310344827,0.029377882068316076
16,dna-private,38,38,0,8030,763,7.320777037544362,2.871996786312047,0.07363254662948548,1.0,0.0,0.2503486156443436
17,dna-private,380,352,28,7716,735,1.1975116640746502,0.2600397082543165,0.4018469905408186,0.9263157894736842,0.07368421052631578,0.7185975427578808
19,prot-private,16,15,1,8053,762,1.4193468272693406,0.5052271650451089,1.0,0.9375,0.0625,1.0
20,dna-private,59,53,6,8015,757,0.834289873154502,-0.26137936121413574,0.6397721118409453,0.8983050847457628,0.1016949152542373,0.8944167861510463
21,dna-private,71,64,7,8004,756,0.863568215892054,-0.21161794974227255,0.6702707107429249,0.9014084507042254,0.09859154929577464,0.9071332927347855
23,prot-private,127,125,2,7943,761,5.987976834949012,2.5820686402058106,0.0020131556070328723,0.984251968503937,0.015748031496062992,0.017294836805873313
24,prot-private,20,20,0,8048,763,3.8893582655153134,1.9595321337374263,0.4103003441798839,1.0,0.0,0.7243976184025975
25,dna-private,18,16,2,8052,761,0.7560854446100348,-0.40337881341779425,0.6651558352122813,0.8888888888888888,0.1111111111111111,0.901825343293552
26,dna-private,546,534,12,7534,751,4.435824263339527,2.149202210533277,2.5952578376837907e-10,0.978021978021978,0.02197802197802198,1.4641902427529446e-08
27,dna-private,17,10,7,8058,756,0.1340282948622487,-2.8993904930977674,0.0003140933090395886,0.5882352941176471,0.4117647058823529,0.0036974918726525577
28,prot-private,19,16,3,8052,760,0.5033946017552575,-0.990238349311548,0.22277766157339868,0.8421052631578947,0.15789473684210525,0.5159923779089749
29,prot-private,258,251,7,7817,756,3.4678265319176154,1.7940317336804479,0.00016988937237279444,0.9728682170542635,0.027131782945736434,0.0021917468517718875
30,dna-private,54,50,4,8018,759,1.1832751309553504,0.24278556303942034,1.0,0.9259259259259259,0.07407407407407407,1.0
31,prot-private,50,45,5,8023,758,0.8503053720553408,-0.2339470423064658,0.6175136262134565,0.9,0.1,0.8877285057891666
32,prot-private,61,56,5,8012,758,1.0596105841238144,0.08353415952862589,1.0,0.9180327868852459,0.08196721311475409,1.0
34,dna-private,176,164,12,7904,751,1.2985408232118758,0.3768913698265216,0.49669887612737595,0.9318181818181818,0.06818181818181818,0.8131319843055353
