feature,concept,confidence,modality,n_active,path_rate,top_gene,top_sub
901,collagen Gly-X-Y disruption,1.0,cross-modal,106,1.0,COL1A2,G>V
944,hydrophobicity-switch,1.0,cross-modal,335,1.0,COL2A1,G>V
1680,proline-introduction (helix breaker),1.0,protein-driven,84,1.0,BTD,A>P
674,hydrophobicity-switch,1.0,cross-modal,100,0.9,NF1,L>P
1960,cysteine-gain (novel disulfide/redox),1.0,novel,234,0.87,CTSC,Y>C
1906,proline-introduction (helix breaker),1.0,cross-modal,123,0.1,ITGA8,Q>P
429,hydrophobicity-switch,1.0,cross-modal,184,1.0,SCN1A,V>D
1857,cysteine-gain (novel disulfide/redox),1.0,novel,272,0.96,POLG,Y>C
1165,hydrophobicity-switch,1.0,cross-modal,135,0.0,NIPAL4,R>G
1508,hydrophobicity-switch,1.0,novel,192,0.85,ABCA4,A>D
829,charge-reversal,1.0,dna-driven,308,1.0,LDLR,E>K
1595,hydrophobicity-switch,1.0,dna-driven,107,1.0,MFN2,R>G
154,cysteine-loss (disulfide disruption),1.0,dna-driven,180,1.0,FBN1,C>Y
1251,hydrophobicity-switch,1.0,novel,415,0.73,KRT14,L>Q
1235,aromatic-loss (pi-stacking disruption),1.0,dna-driven,72,1.0,CLCN5,Y>N
714,hydrophobicity-switch,1.0,cross-modal,77,1.0,SCN1A,I>N
554,cysteine-loss (disulfide disruption),1.0,cross-modal,462,1.0,FBN1,C>Y
373,hydrophobicity-switch,1.0,cross-modal,102,0.65,PDGFRA,D>V
1812,cysteine-loss (disulfide disruption),0.98,dna-driven,555,1.0,FBN1,C>Y
1955,cysteine-loss (disulfide disruption),0.96,cross-modal,273,0.89,RET,C>S
1670,charge-reversal,0.96,cross-modal,231,1.0,TP63,K>E
1796,cysteine-loss (disulfide disruption),0.96,protein-driven,662,0.77,FBN1,C>Y
1626,hydrophobicity-switch,0.95,dna-driven,59,1.0,COL3A1,G>V
916,proline-introduction (helix breaker),0.95,cross-modal,228,0.91,TFAP2A,R>P
1050,proline-introduction (helix breaker),0.95,dna-driven,80,1.0,SACS,R>P
76,hydrophobicity-switch,0.95,dna-driven,87,0.95,FBN1,I>N
1403,hydrophobicity-switch,0.94,dna-driven,100,0.85,TNNT2,R>L
215,cysteine-loss (disulfide disruption),0.94,cross-modal,60,0.8,FBN1,C>Y
706,proline-introduction (helix breaker),0.94,cross-modal,59,0.95,CCNO,L>P
1698,cysteine-gain (novel disulfide/redox),0.94,novel,225,0.86,FKRP,Y>C
1710,cysteine-loss (disulfide disruption),0.94,dna-driven,102,0.85,LDLR,C>F
1248,charge-reversal,0.94,protein-driven,108,0.85,APOE,K>E
