feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
3,287,1.0,cross-mo,0.621,pathogenic-general,1,LDLR,0.15,other,0.0,M>L,0.55,0.0,0.0,0.0,0.0,2.08,0.0,12.4,False,0.159,GO:0005886,GO:0005576,GO:0005615
5,154,0.333,cross-mo,0.433,unresolved,0,TMEM225,0.05,transporter,0.05,L>R,0.2,0.0,0.0,0.0,0.0,3.51,0.45,29.0,False,0.222,GO:0005886,GO:0005634,GO:0005654
7,350,1.0,cross-mo,0.595,mechanism:charge-reversal,2,POMT2,0.05,transporter,0.15,M>R,1.0,0.0,0.0,0.0,0.0,6.4,1.0,10.5,False,0.139,GO:0005829,GO:0070062,GO:0016020
11,20,0.462,cross-mo,0.577,unresolved,0,TP53,0.3,other,0.0,R>H,0.15,0.0,0.05,0.05,0.15,3.44,0.68,47.5,False,0.231,GO:0005829,GO:0005654,GO:0005634
12,13,0.833,cross-mo,0.564,mechanism:cysteine-gain,4,OTC,0.05,ion_channel,0.05,F>C,0.65,0.05,0.0,0.7,0.05,1.02,0.05,73.8,False,0.263,GO:0005634,GO:0008270,GO:0006357
13,1800,0.515,cross-mo,0.571,unresolved,0,IDS,0.022,cardiac_sarcomere,0.022,R>Q,0.156,0.011,0.011,0.167,0.022,4.08,0.71,47.1,False,0.3,GO:0005886,GO:0005737,GO:0005829
18,955,0.15,cross-mo,0.59,unresolved,0,ACP2,0.021,transporter,0.085,I>V,0.468,0.0,0.021,0.021,0.0,1.9,0.04,32.0,False,0.138,GO:0005886,GO:0016020,GO:0005737
23,3014,0.078,cross-mo,0.587,benign-general,1,SOX18,0.02,ion_channel,0.013,P>S,1.0,0.0,0.0,0.0,0.0,0.8,0.0,23.7,False,0.325,GO:0005634,GO:0005829,GO:0005654
24,1289,0.057,cross-mo,0.583,benign-general,1,GGT5,0.016,keratin,0.062,P>L,0.219,0.062,0.016,0.062,0.062,3.37,0.3,45.8,False,0.181,GO:0005634,GO:0005829,GO:0005886
25,885,0.357,cross-mo,0.601,unresolved,0,SLC39A7,0.023,transporter,0.182,L>V,0.841,0.0,0.0,0.0,0.0,0.45,0.0,22.5,False,0.289,GO:0005886,GO:0005737,GO:0005829
26,32,0.0,cross-mo,0.615,unresolved,0,MASTL,0.1,other,0.0,T>I,0.5,0.0,0.0,0.0,0.1,3.7,0.0,38.6,False,0.188,GO:0005634,GO:0005829,GO:0005654
30,182,0.8,cross-mo,0.604,mechanism:glycine-loss,2,MAP3K7,0.1,other,0.0,G>S,0.5,1.0,0.0,0.05,0.0,1.84,0.4,50.8,False,0.24,GO:0005886,GO:0005829,GO:0005737
31,10,0.909,cross-mo,0.559,unresolved,0,KRT6A,0.1,keratin,0.3,L>P,0.25,0.05,0.0,0.05,0.3,4.38,0.3,47.8,False,0.282,GO:0005829,GO:0005634,GO:0045109
34,2460,0.472,dna-driv,0.27,unresolved,0,GABRB2,0.016,transporter,0.065,A>T,0.065,0.203,0.033,0.024,0.016,2.29,0.44,42.1,False,0.227,GO:0005886,GO:0005634,GO:0005829
35,89,0.8,cross-mo,0.514,unresolved,0,LRRC15,0.05,transporter,0.1,P>A,0.3,0.3,0.05,0.0,0.0,3.24,0.2,36.1,False,0.24,GO:0005737,GO:0005829,GO:0005886
