assay,gene,n_variants,raw_prot_frac,raw_dna_frac,raw_shared_frac,mass_pp,mass_dp,mass_sh,pfm_prot_frac,pfm_dna_frac,pfm_shared_frac,afn_prot_frac,afn_dna_frac,afn_shared_frac,n_active_pp,n_active_dp,n_active_sh
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1,2921,0.6416386961936951,0.34644123911857605,0.011920111253857613,226141.0625,122100.7890625,4201.15966796875,0.8462324579084735,0.12112991519589883,0.03263762686804867,0.8228708589260145,0.14179604769695678,0.035333093350283985,735,2303,318
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2,3847,0.6411316990852356,0.33218950033187866,0.02667885832488537,341400.0625,176889.578125,14206.3857421875,0.8171607194161066,0.11224547029349642,0.07059381027275655,0.8112285246290943,0.11556483204964967,0.07320664330383848,733,2666,338
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1,804,0.5233451724052429,0.45896703004837036,0.017687765881419182,60912.52734375,53419.5078125,2058.69189453125,0.7676589632127028,0.17847783123349648,0.05386320546091935,0.7320478048710317,0.19906640311496673,0.06888579193336072,671,2164,241
A0A247D711_LISMN_Stadelmann_2021,A0A247D711,536,0.6530384421348572,0.3377531170845032,0.00920850783586502,50630.38671875,26186.162109375,713.9400634765625,0.85734691747758,0.11755467095588304,0.025098411441737634,0.772846927878878,0.18272839128093038,0.04442468074249905,640,1400,157
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0,3292,0.6563979387283325,0.32520440220832825,0.01839764229953289,272328.625,134921.90625,7632.87646484375,0.8406663403902621,0.11041689393405821,0.04891676565292871,0.815727362209873,0.1312613874761948,0.053011250291916175,735,2263,317
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0,2347,0.6601888537406921,0.3213041126728058,0.018506959080696106,193937.328125,94386.4140625,5436.611328125,0.8423025885949429,0.1086773164527235,0.049020094920324477,0.8035025377502799,0.13975767967933328,0.056739782540225076,728,2037,289
A4D664_9INFA_Soh_2019,A4D664,4410,0.6956333518028259,0.297313392162323,0.007053263485431671,411150.25,175725.453125,4168.79248046875,0.8815567973596942,0.099886570789509,0.018556631834994734,0.8717080520260513,0.10866557167411452,0.019626376284251026,735,2520,331
A4GRB6_PSEAI_Chen_2020,A4GRB6,1561,0.5754508972167969,0.411874920129776,0.012674159370362759,122723.8203125,87838.7109375,2702.9609375,0.8094061168957838,0.1535841016266435,0.03700978142896508,0.7911519894027697,0.1681710024750666,0.04067700807581262,719,2421,308
A4_HUMAN_Seuma_2022,A4,168,0.5362905263900757,0.4339773952960968,0.029732132330536842,11904.5,9633.3681640625,659.9896240234375,0.7520899984538401,0.16134648338024288,0.08656351770030288,0.6326301915986695,0.2280694948127394,0.13930031336486293,421,945,106
AACC1_PSEAI_Dandage_2018,AACC1,872,0.6028392314910889,0.38193246722221375,0.01522828359156847,74809.1171875,47395.7734375,1889.7484130859375,0.8194008772131386,0.13762717693965568,0.04297194576648046,0.7888311457992837,0.158412952550126,0.05275590157772725,691,2180,261
ACE2_HUMAN_Chan_2020,ACE2,708,0.575349748134613,0.405038058757782,0.019612226635217667,54085.61328125,38075.50390625,1843.6427001953125,0.7952920280705346,0.14842710683261853,0.056280864988476044,0.7742655490167373,0.15934014463583443,0.06639430625523617,644,2203,256
ADRB2_HUMAN_Jones_2020,ADRB2,2448,0.5706191062927246,0.4039584994316101,0.025422463193535805,200495.140625,141936.5625,8932.5439453125,0.7811455026300097,0.1466037436515566,0.07225075368971945,0.7771863472433228,0.14957116984562932,0.07324248288259559,734,2700,347
AICDA_HUMAN_Gajula_2014_3cycles,AICDA,67,0.5292932987213135,0.44238266348838806,0.028324022889137268,4284.3486328125,3580.85302734375,229.2679443359375,0.7503718135759523,0.16626502293406611,0.08336316219918088,0.577563761841922,0.25578022489561775,0.16665601289173856,275,519,51
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR,277,0.6671435236930847,0.32211583852767944,0.01074056327342987,26145.0078125,12623.552734375,420.9170837402344,0.8610114440363157,0.1102108719782758,0.02877768374269862,0.7086781500380034,0.23235726792408945,0.05896458187961004,584,860,113
AMIE_PSEAE_Wrenbeck_2017,AMIE,2035,0.5148032903671265,0.47123798727989197,0.013958807103335857,167169.828125,153023.0625,4532.78271484375,0.7698436496713222,0.18682036535918176,0.0433359849355559,0.7566270923405131,0.19796289004996073,0.04541001757666666,726,2540,328
